data,value
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.0
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.1
21,129.1
21,129.1
21,129.1
21,129.6
21,129.6
21,129.6
21,129.1
21,129.1
21,129.1
21,129.1
21,129.1
21,129.1
21,129.1
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.7
21,129.1
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
21,129.6
